player,position,goals,xg,gox,assists_primary,xpa,xpa_per_100,xg_per_10,aox,cp,xcp,cpox,assists_secondary,assists,passes,shots
Alex Gritz,C,0,0.3,-0.3,1,0.7,1.63,0.38,0.30000000000000004,62.8,67.7,-4.900000000000006,0,1,43,8
Maxim Golod,LW,10,9.3,0.6999999999999993,15,13.4,1.56,0.51,1.5999999999999996,69.2,68.6,0.6000000000000085,4,19,860,181
Hayden Fowler,RW,6,4.7,1.2999999999999998,4,8.8,1.35,0.57,-4.800000000000001,60.4,68.8,-8.399999999999999,8,12,651,82
Danial Singer,RW,6,6,0,5,2.2,1.31,0.75,2.8,69.6,68.2,1.3999999999999915,0,5,168,80
Austen Swankler,C,8,8.3,-0.3000000000000007,6,9.2,1.3,0.54,-3.1999999999999993,63,67.4,-4.400000000000006,7,13,708,155
Kyen Sopa,RW,5,4.1,0.9000000000000004,2,3,1.28,0.93,-1,72.2,69.2,3,2,4,234,44
Daniel D'Amato,RW,10,9.7,0.3000000000000007,6,8,1.23,0.78,-2,66.9,68.9,-2,4,10,650,124
Emmett Sproule,LW,6,7.6,-1.5999999999999996,4,8.2,1.22,0.66,-4.199999999999999,66.1,68.6,-2.5,4,8,670,115
Brendan Sellan,LW,6,8.3,-2.3000000000000007,6,7.7,1.21,0.68,-1.7000000000000002,69.4,68.6,0.8000000000000114,5,11,634,122
Brendan Hoffmann,RW,8,9.5,-1.5,4,5.5,1.12,0.7,-1.5,68.4,68.4,0,2,6,491,135
Noah Sedore,LW,1,1.2,-0.19999999999999996,1,2.8,0.96,0.32,-1.7999999999999998,68.4,69.2,-0.7999999999999972,4,5,291,37
Elias Cohen,C,5,4.5,0.5,3,4.4,0.95,0.8,-1.4000000000000004,72.1,68.1,4,2,5,462,56
Chad Yetman,C,18,14.2,3.8000000000000007,8,6.3,0.93,0.95,1.7000000000000002,73.4,69.2,4.200000000000003,5,13,674,150
Connor Lockhart,C,3,4.1,-1.0999999999999996,6,4.8,0.9,0.59,1.2000000000000002,67.5,68.7,-1.2000000000000028,3,9,532,70
Jamie Drysdale,D,5,3.1,1.9,11,6,0.71,0.23,5,74.7,70.2,4.5,4,15,847,132
Drew Hunter,D,2,1.7,0.30000000000000004,1,3.9,0.64,0.2,-2.9,71.1,68.7,2.3999999999999915,6,7,605,85
Jacob Golden,D,1,1.7,-0.7,3,3.5,0.52,0.19,-0.5,71.6,69.7,1.8999999999999915,3,6,668,89
Kurtis Henry,D,2,1.8,0.19999999999999996,3,4.1,0.43,0.15,-1.0999999999999996,73.1,70.5,2.5999999999999943,3,6,955,122
Luke Beamish,D,0,0.3,-0.3,0,0.9,0.39,0.13,-0.9,75.4,69.6,5.800000000000011,1,1,228,23
Jack Duff,D,2,1.9,0.10000000000000009,5,3.7,0.38,0.13,1.2999999999999998,71.5,71.6,-0.09999999999999432,4,9,977,147
Cameron Morton,D,2,1.1,0.8999999999999999,4,1.9,0.34,0.14,2.1,69.2,69.8,-0.5999999999999943,2,6,555,81
Brendan Kischnick,D,0,0.9,-0.9,1,0.6,0.24,0.22,0.4,69.6,70.2,-0.6000000000000085,1,2,247,40
