player,goals,assists_primary,assists_secondary
AJ Cook,1,1,0
Alex Johnston,1,0,0
Andrei Bakanov,1,0,0
Andrew Bruder,1,1,1
Andrew Perrott,1,0,0
Antonio Stranges,2,0,0
Arthur Kaliyev,5,1,0
Austen Swankler,11,8,10
Avery Hayes,2,0,1
Barret Kirwin,3,1,0
Ben Roger,1,0,0
Billy Moskal,1,0,1
Bradley Johnson,1,0,0
Brandon Coe,1,1,0
Brendan Hoffmann,8,5,2
Brendan Sellan,9,6,5
Brennan Othmann,2,0,0
Brett Neumann,1,1,0
Cam Hillis,3,4,1
Cameron Morton,2,4,2
Cedric Ralph,2,2,1
Chad Yetman,29,12,6
Cody Morgan,1,0,2
Cole Coskey,1,0,1
Cole Perfetti,1,3,0
Connor Corcoran,2,1,0
Connor Lockhart,5,9,3
Connor McMichael,2,1,0
Connor Roberts,1,1,0
Curtis Douglas,2,2,2
Damien Giroux,2,1,0
Danial Singer,7,5,1
Daniel D'Amato,13,6,4
Daniel D'Amico,2,1,0
Daniil Chayka,1,1,1
Danil Antropov,1,0,0
Danny Katic,1,0,0
David Campbell,1,0,0
David Levin,1,0,0
Declan McDonnell,2,2,0
Deni Goure,1,0,0
DJ King,1,0,2
Donovan Sebrango,1,1,0
Drew Hunter,2,6,8
Elias Cohen,5,3,2
Emmett Sproule,8,4,4
Eric Hjorth,1,0,1
Evan Vierling,1,0,0
Francesco Pinelli,3,1,1
Greg Meireles,3,1,1
Hayden Fowler,12,8,9
Hunter Skinner,1,0,0
Ivan Lodnia,1,2,1
Jack Beck,1,0,0
Jack Duff,2,5,5
Jackson Doherty,1,1,0
Jacob Frasca,1,0,0
Jacob Golden,3,4,7
Jake Goldowski,1,2,0
Jake Uberti,1,0,0
Jamie Drysdale,6,16,11
Jamieson Rees,1,0,2
Jean-Luc Foudy,1,0,1
Jesse Fishman,1,0,0
Jonah De Simone,1,0,0
Jonathan Gruden,2,1,0
Jonathan Yantsis,3,0,1
Josh Nelson,1,1,0
Justin Nolet,1,0,0
Kade Landry,1,0,0
Kaleb Lawrence,1,0,0
Kaleb Pearson,2,0,0
Keean Washkurak,1,2,0
Kurtis Henry,4,4,3
Kyen Sopa,7,5,3
Kyle McDonald,1,0,0
Liam Arnsby,1,0,0
Liam Foudy,1,0,4
Liam Ham,1,0,0
Liam Hawel,1,2,0
Lucas Theriault,1,0,1
Luke Bignell,1,0,0
Luke Boka,1,1,0
Macauley Carson,1,2,0
Marco Rossi,2,1,0
Mathew MacDougall,1,0,2
Matthew Papais,1,0,0
Maxim Golod,15,24,11
Mike Petizian,1,0,1
Mitchell Hoelscher,2,0,1
Nicholas Canade,2,0,0
Nicholas Porco,1,1,1
Nick King,1,1,0
Noah Sedore,1,1,4
Nolan Burke,1,0,0
Oliver Castleman,1,2,0
Oliver Suni,1,1,0
Pavel Gogolev,5,1,4
Peter Stratis,1,1,1
Philip Tomasino,1,0,1
Quinton Byfield,2,0,0
Riley Damiani,1,2,0
Riley McCourt,3,0,0
Ruben Rafkin,1,0,1
Ryan McGregor,2,1,0
Ryan Merkley,1,0,0
Ryan Roth,2,0,1
Sean Josling,1,1,1
Shane Bulitka,2,1,1
Shane Wright,1,0,0
Simon Rose,1,0,0
Theo Hill,2,0,0
Thomas Harley,1,1,0
Ty Collins,3,0,0
Ty Dellandrea,1,0,0
Tyler Angle,2,0,1
Vladislav Kolyachonok,1,2,0
Will Cuylle,1,0,0
Zack Trott,1,0,0
Zayde Wisdom,1,1,0
Adam McMaster,0,2,0
Aidan Dudas,0,1,1
Akil Thomas,0,2,1
Alec Regula,0,2,0
Alex Gritz,0,1,0
Anthony Tabak,0,2,0
Austen Keating,0,1,1
Ben McFarlane,0,1,0
Brady Lyle,0,1,0
Brayden Guy,0,1,0
Brendan Kischnick,0,1,2
Brenden Sirizzotti,0,1,0
Camaryn Baber,0,1,0
Cameron Butler,0,1,0
Carter Robertson,0,1,0
Chase Stillman,0,1,0
Chris Playfair,0,1,0
Cole Purboo,0,2,1
Cole Tymkin,0,2,0
Colton Kammerer,0,1,0
Dawson Baker,0,1,0
Dennis Busby,0,1,0
Egor Afanasyev,0,2,2
Eric Uba,0,1,0
Ethan Keppen,0,1,0
Evgeniy Oksentyuk,0,1,1
George Diaco,0,1,0
Isaak Phillips,0,1,0
Jack Phibbs,0,1,0
Jack Quinn,0,1,1
Jacob Perreault,0,1,2
Jacob Roach,0,1,0
Jake Durham,0,1,0
James Hardie,0,1,0
Jan Jenik,0,2,2
Jason Willms,0,1,0
Joseph Garreffa,0,1,0
Joseph Mack,0,1,0
Joseph Serpa,0,1,0
Josh Currie,0,1,0
Justin MacPherson,0,1,0
Kalle Loponen,0,1,0
Keegan Stevenson,0,2,0
Kirill Steklov,0,1,0
Liam Van Loon,0,1,2
