date,g,a1,a2,strength
2019-09-20,Maxim Golod,Danial Singer,Chad Yetman,ev
2019-09-20,Quinton Byfield,NA,NA,ev
2019-09-20,Quinton Byfield,Chase Stillman,Emmett Serensits,ev
2019-09-20,Kurtis Henry,Austen Swankler,Brendan Hoffmann,ev
2019-09-20,Daniel D'Amato,Alex Gritz,Jack Duff,ev
2019-09-20,Hayden Fowler,Jacob Golden,Brendan Sellan,ev
2019-09-20,Connor Lockhart,NA,NA,en
2019-09-21,Danial Singer,Jamie Drysdale,NA,ev
2019-09-21,Chad Yetman,Maxim Golod,Kurtis Henry,ev
2019-09-21,Bradley Johnson,George Diaco,NA,ev
2019-09-21,Kade Landry,Arthur Kaliyev,Avery Hayes,ev
2019-09-21,Emmett Sproule,Jamie Drysdale,Austen Swankler,ev
2019-09-21,Daniel D'Amato,Jamie Drysdale,Elias Cohen,ev
2019-09-21,Maxim Golod,Connor Lockhart,Jamie Drysdale,pp
2019-09-21,Hayden Fowler,Maxim Golod,NA,pp
2019-09-21,Avery Hayes,Nathan Staios,Liam Van Loon,pp
2019-09-21,Chad Yetman,NA,NA,sh
2019-09-21,Jamie Drysdale,Elias Cohen,Austen Swankler,ev
2019-09-21,Arthur Kaliyev,NA,NA,ev
2019-09-21,Avery Hayes,Ryan Winterton,Davis Young,ev
2019-09-26,Hayden Fowler,NA,NA,ev
2019-09-26,Luke Boka,Louka Henault,NA,ev
2019-09-26,Tyler Angle,Cole Purboo,Ruben Rafkin,ev
2019-10-04,Maxim Golod,Jamie Drysdale,Luke Beamish,pp
2019-10-04,DJ King,Damien Giroux,Ethan Cardwell,ev
2019-10-04,Danny Katic,Jake Goldowski,NA,ev
2019-10-04,Damien Giroux,Cole Perfetti,Ethan Cardwell,ev
2019-10-04,Jake Goldowski,Camaryn Baber,DJ Busdeker,ev
2019-10-04,Maxim Golod,Jamie Drysdale,Austen Swankler,pp
2019-10-11,Arthur Kaliyev,Jan Jenik,NA,ev
2019-10-11,Arthur Kaliyev,Liam Van Loon,Jan Jenik,ev
2019-10-11,Arthur Kaliyev,Logan Morrison,Jan Jenik,pp
2019-10-11,Arthur Kaliyev,Jan Jenik,Liam Van Loon,ev
2019-10-11,Chad Yetman,Brendan Sellan,Jacob Golden,ev
2019-10-12,Austen Swankler,Brendan Sellan,Jack Duff,ev
2019-10-12,Ty Collins,Jacob Roach,Pavel Gogolev,pp
2019-10-12,Austen Swankler,Maxim Golod,Jamie Drysdale,ev
2019-10-12,Emmett Sproule,Hayden Fowler,Chad Yetman,ev
2019-10-12,Chad Yetman,Jack Duff,Hayden Fowler,ev
2019-10-17,Kyen Sopa,Oliver Castleman,Mason Howard,ev
2019-10-17,Chad Yetman,Maxim Golod,Jamie Drysdale,pp
2019-10-17,Jamie Drysdale,Jack Duff,Hayden Fowler,ev
2019-10-17,Brendan Hoffmann,Danial Singer,Noah Sedore,ev
2019-10-17,Lucas Theriault,AJ Cook,Drew Hunter,ev
2019-10-17,Jonah De Simone,Akil Thomas,NA,ev
2019-10-17,Jamie Drysdale,Connor Lockhart,NA,ev
2019-10-17,Mathew MacDougall,Maxim Golod,Luke Beamish,ev
2019-10-17,Emmett Sproule,Chad Yetman,Hayden Fowler,en
2019-10-17,Danial Singer,Connor Lockhart,NA,ev
2019-10-18,Brendan Sellan,Jamie Drysdale,NA,ev
2019-10-18,Cam Hillis,Pavel Gogolev,Josh Wainman,ev
2019-10-18,Chad Yetman,Emmett Sproule,NA,ev
2019-10-18,Pavel Gogolev,Cedric Ralph,Cam Hillis,ev
2019-10-18,Pavel Gogolev,Cam Hillis,Luka Profaca,ev
2019-10-18,Jamie Drysdale,Jack Duff,Maxim Golod,ev
2019-10-18,Matthew Papais,Ben McFarlane,NA,ev
2019-10-18,Ty Collins,Zack Terry,Luka Profaca,ev
